Code,Zero Decimal
AED,no
AFN,no
ALL,no
AMD,no
ANG,no
AOA,no
ARS,no
AUD,no
AWG,no
AZN,no
BAM,no
BBD,no
BDT,no
BGN,no
BIF,no
BMD,no
BND,no
BOB,no
BRL,no
BSD,no
BWP,no
BZD,no
CAD,no
CDF,no
CHF,no
CLP,no
CNY,no
COP,no
CRC,no
CVE,no
CZK,no
DJF,no
DKK,no
DOP,no
DZD,no
EGP,no
ETB,no
EUR,no
FJD,no
FKP,no
GBP,no
GEL,no
GIP,no
GMD,no
GNF,no
GTQ,no
GYD,no
HKD,no
HNL,no
HRK,no
HTG,no
HUF,no
IDR,no
ILS,no
INR,no
ISK,no
JMD,no
JPY,no
KES,no
KGS,no
KHR,no
KMF,no
KRW,no
KYD,no
KZT,no
LAK,no
LBP,no
LKR,no
LRD,no
LSL,no
MAD,no
MDL,no
MGA,no
MKD,no
MMK,no
MNT,no
MOP,no
MRO,no
MUR,no
MVR,no
MWK,no
MXN,no
MYR,no
MZN,no
NAD,no
NGN,no
NIO,no
NOK,no
NPR,no
NZD,no
PAB,no
PEN,no
PGK,no
PHP,no
PKR,no
PLN,no
PYG,no
QAR,no
RON,no
RSD,no
RUB,no
RWF,no
SAR,no
SBD,no
SCR,no
SEK,no
SGD,no
SHP,no
SLL,no
SOS,no
SRD,no
STD,no
SZL,no
THB,no
TJS,no
TOP,no
TRY,no
TTD,no
TWD,no
TZS,no
UAH,no
UGX,no
USD,no
UYU,no
UZS,no
VND,no
VUV,no
WST,no
XAF,no
XCD,no
XOF,no
XPF,no
YER,no
ZAR,no
ZMW,no